Der_Provider_Site_Code,Provider_Site_Name,Provider_Site_Name_Short,ODS_ProvSite_PostCode,Postcode_Trim,Grid_Ref_Easting,Grid_Ref_Northing,Longitude_1m,Latitude_1m,Region_Name
RL403,RL403: New Cross Hospital,RL403: New Cross Hosp,WV10 0QP,WV100QP,3936,3002,-2.095555011,52.59972017,MIDLANDS
RLQ01,RLQ01: Hereford County Hospital,RLQ01: Hereford County Hosp,HR1 2ER,HR12ER,3517,2400,-2.705708839,52.05701053,MIDLANDS
RM102,RM102: Norfolk & Norwich University Hospital,RM102: Norfolk & Norwich Uni Hosp,NR4 7UY,NR47UY,6181,3070,1.221174949,52.61754103,EAST OF ENGLAND
RN325,RN325: The Great Western Hospital,RN325: The Great Western Hosp,SN3 6BB,SN36BB,4190,1822,-1.727200068,51.53852608,SOUTH WEST
RN506,RN506: Basingstoke and North Hampshire Hospital,RN506: Basingstoke & North Hampshire ,RG24 9NA,RG249NA,4621,1538,-1.109917911,51.2806306,SOUTH EAST
RN541,RN541: Royal Hampshire County Hospital,RN541: Royal Hampshire County Hosp,SO22 5DG,SO225DG,4471,1293,-1.329170098,51.06170413,SOUTH EAST
RNN62,RNN62: Cumberland Infirmary,RNN62: Cumberland Infirmary,CA2 7HY,CA27HY,3386,5561,-2.957791975,54.8964956,NORTH EAST AND YORKSHIRE
RNNBX,RNNBX: West Cumberland Hospital,RNNBX: West Cumberland Hosp,CA28 8JG,CA288JG,2989,5160,-3.562597507,54.53004784,NORTH EAST AND YORKSHIRE
RNQ51,RNQ51: Kettering General Hospital,RNQ51: Kettering General Hosp,NN16 8UZ,NN168UZ,4857,2790,-0.741293006,52.40278055,MIDLANDS
RNS01,RNS01: Northampton General Hospital (Acute),RNS01: Northampton General Hosp (Acut,NN1 5BD,NN15BD,4763,2603,-0.883843957,52.23605133,MIDLANDS
RP5DR,RP5DR: Doncaster Royal Infirmary,RP5DR: Doncaster Royal Infirmary,DN2 5LT,DN25LT,4591,4041,-1.108938874,53.53078216,NORTH EAST AND YORKSHIRE
RR7EN,RR7EN: Queen Elizabeth Hospital,RR7EN: Queen Elizabeth Hosp,NE9 6SX,NE96SX,4269,5606,-1.580780828,54.93937774,NORTH EAST AND YORKSHIRE
RR801,RR801: Leeds General Infirmary,RR801: Leeds General Infirmary,LS1 3EX,LS13EX,4296,4339,-1.551743513,53.8014429,NORTH EAST AND YORKSHIRE
RR813,RR813: St James's University Hospital,RR813: St James's Uni Hosp,LS9 7TF,LS97TF,4316,4346,-1.520358752,53.80686719,NORTH EAST AND YORKSHIRE
RRK15,RRK15: Queen Elizabeth Hospital Birmingham,RRK15: Queen Elizabeth Hosp Birmingha,B15 2WB,B152WB,4040,2835,-1.941776287,52.45014398,MIDLANDS
RRK97,RRK97: Heartlands Hospital,RRK97: Heartlands Hosp,B9 5SS,B95SS,4116,2869,-1.829965527,52.48021574,MIDLANDS
RRK98,RRK98: Good Hope Hospital,RRK98: Good Hope Hosp,B75 7RR,B757RR,4128,2966,-1.812043216,52.56736376,MIDLANDS
RRVNQ,RRVNQ: National Hospital For Neurology & Neurosurgery - Queen Square,RRVNQ: Nat Hosp For Neurology & Neuro,WC1N 3BG,WC1N3BG,5303,1820,-0.122001136,51.52216881,LONDON
RTD01,RTD01: Freeman Hospital,RTD01: Freeman Hosp,NE7 7DN,NE77DN,4261,5676,-1.593377593,55.00277373,NORTH EAST AND YORKSHIRE
RTD02,RTD02: The Royal Victoria Infirmary,RTD02: The Royal Victoria Infirmary,NE1 4LP,NE14LP,4244,5651,-1.618854943,54.98021083,NORTH EAST AND YORKSHIRE
RTD06,RTD06: Northern Centre For Cancer Care,RTD06: Northern Centre For Cancer Car,NE7 7DN,NE77DN,4261,5676,-1.593377593,55.00277373,NORTH EAST AND YORKSHIRE
RTE01,RTE01: Cheltenham General Hospital,RTE01: Cheltenham General Hosp,GL53 7AN,GL537AN,3951,2215,-2.071882685,51.89211799,SOUTH WEST
RTE03,RTE03: Gloucestershire Royal Hospital,RTE03: Gloucestershire Royal Hosp,GL1 3NN,GL13NN,3841,2186,-2.232072782,51.86637662,SOUTH WEST
RTG02,RTG02: Burton Hospital,RTG02: Burton Hosp,DE13 0RB,DE130RB,4232,3245,-1.656383634,52.81777274,MIDLANDS
RTGFG,RTGFG: Royal Derby Hospital,RTGFG: Royal Derby Hosp,DE22 3NE,DE223NE,4328,3348,-1.513526726,52.91040435,MIDLANDS
RTH05,RTH05: Horton General Hospital,RTH05: Horton General Hosp,OX16 9AL,OX169AL,4455,2396,-1.336897829,52.05347593,SOUTH EAST
RTH08,RTH08: John Radcliffe Hospital,RTH08: John Radcliffe Hosp,OX3 9DU,OX39DU,4539,2075,-1.219791932,51.76385922,SOUTH EAST
RTK00,RTK00: Ashford and St Peter's Hospitals NHS Foundation Trust (Site Unknown),RTK00: Ashford & St Peter' (Site Unk),NULL,NULL,NULL,NULL,NULL,NULL,SOUTH EAST
RTK01,RTK01: St Peter's Hospital,RTK01: St Peter's Hosp,KT16 0PZ,KT160PZ,5026,1653,-0.527060257,51.37782935,SOUTH EAST
RTP04,RTP04: East Surrey Hospital,RTP04: East Surrey Hosp,RH1 5RH,RH15RH,5284,1482,-0.162009208,51.2191917,SOUTH EAST
RTR45,RTR45: Friarage Hospital Site,RTR45: Friarage Hosp Site,DL6 1JG,DL61JG,4371,4942,-1.430533904,54.34232881,NORTH EAST AND YORKSHIRE
RTRAT,RTRAT: The James Cook University Hospital,RTRAT: The James Cook Uni Hosp,TS4 3BW,TS43BW,4508,5176,-1.214805309,54.55175276,NORTH EAST AND YORKSHIRE
RTXBU,RTXBU: Furness General Hospital,RTXBU: Furness General Hosp,LA14 4LF,LA144LF,3211,4718,-3.207899244,54.13639274,NORTH WEST
RVJ01,RVJ01: Southmead Hospital,RVJ01: Southmead Hosp,BS10 5NB,BS105NB,3590,1774,-2.591014299,51.49480478,SOUTH WEST
RVV01,RVV01: William Harvey Hospital (Ashford),RVV01: William Harvey Hosp (Ashford),TN24 0LZ,TN240LZ,6040,1420,0.916208958,51.14148716,SOUTH EAST
RVV09,RVV09: Queen Elizabeth The Queen Mother Hospital,RVV09: Queen Elizabeth The Queen Moth,CT9 4AN,CT94AN,6359,1697,1.389384663,51.37805071,SOUTH EAST
RVVKC,RVVKC: Kent & Canterbury Hospital,RVVKC: Kent & Canterbury Hosp,CT1 3NG,CT13NG,6154,1564,1.087083404,51.26658646,SOUTH EAST
RWA01,RWA01: Hull Royal Infirmary,RWA01: Hull Royal Infirmary,HU3 2JZ,HU32JZ,5083,4287,-0.358146282,53.74411119,NORTH EAST AND YORKSHIRE
RWA16,RWA16: Castle Hill Hospital,RWA16: Castle Hill Hosp,HU16 5JQ,HU165JQ,5025,4322,-0.444984514,53.77673084,NORTH EAST AND YORKSHIRE
RWDDA,RWDDA: Lincoln County Hospital,RWDDA: Lincoln County Hosp,LN2 5QY,LN25QY,4989,3717,-0.519635037,53.2335731,MIDLANDS
RWDLA,RWDLA: Pilgrim Hospital,RWDLA: Pilgrim Hosp,PE21 9QS,PE219QS,5336,3456,-0.009967607,52.99112282,MIDLANDS
RWDLP,RWDLP: Grantham & District Hospital,RWDLP: Grantham & District Hosp,NG31 8DG,NG318DG,4914,3368,-0.6407139,52.9210843,MIDLANDS
RWE00,RWE00: University Hospitals of Leicester NHS Trust (Site Unknown),RWE00: Uni Hosps of Leices (Site Unk),NULL,NULL,NULL,NULL,NULL,NULL,MIDLANDS
RWEAA,RWEAA: Leicester Royal Infirmary,RWEAA: Leicester Royal Infirmary,LE1 5WW,LE15WW,4585,3035,-1.135960703,52.62677985,MIDLANDS
RWEAE,RWEAE: Glenfield Hospital,RWEAE: Glenfield Hosp,LE3 9QP,LE39QP,4555,3066,-1.180017615,52.6543594,MIDLANDS
RWEAK,RWEAK: Leicester General Hospital,RWEAK: Leicester General Hosp,LE5 4PW,LE54PW,4622,3039,-1.081763791,52.62992338,MIDLANDS
RWESR,RWESR: Uhl Leics Spire,RWESR: Uhl Leics Spire,LE2 2FF,LE22FF,4621,3022,-1.083471378,52.61466251,MIDLANDS
RWH01,RWH01: Lister Hospital,RWH01: Lister Hosp,SG1 4AB,SG14AB,5229,2266,-0.212725945,51.92460836,EAST OF ENGLAND
RWP01,RWP01: Alexandra Hospital,RWP01: Alexandra Hosp,B98 7UB,B987UB,4060,2646,-1.912126513,52.27977164,MIDLANDS
RWP50,RWP50: Worcestershire Royal Hospital,RWP50: Worcestershire Royal Hosp,WR5 1DD,WR51DD,3877,2547,-2.181158042,52.19119081,MIDLANDS
RX1CC,RX1CC: Nottingham University Hospitals NHS Trust - City Campus,RX1CC: Nottingham Uni Hosps  - City C,NG5 1PB,NG51PB,4565,3440,-1.158340691,52.99035018,MIDLANDS
RX1RA,RX1RA: Nottingham University Hospitals NHS Trust - Queen's Medical Centre Campus,RX1RA: Nottingham Uni Hosps  - Queen',NG7 2UH,NG72UH,4548,3388,-1.18595647,52.94379719,MIDLANDS
RXC01,RXC01: Conquest Hospital,RXC01: Conquest Hosp,TN37 7RD,TN377RD,5806,1126,0.567270137,50.88516453,SOUTH EAST
RXC02,RXC02: Eastbourne District General Hospital,RXC02: Eastbourne District General Ho,BN21 2UD,BN212UD,5601,1010,0.271107627,50.78696632,SOUTH EAST
RXH00,RXH00: Brighton and Sussex University Hospitals NHS Trust (Site Unknown),RXH00: Brighton & Sussex U (Site Unk),NULL,NULL,NULL,NULL,NULL,NULL,SOUTH EAST
RXK01,RXK01: Sandwell General Hospital,RXK01: Sandwell General Hosp,B71 4HJ,B714HJ,4008,2922,-1.988871787,52.52807352,MIDLANDS
RXK02,RXK02: City Hospital,RXK02: City Hosp,B18 7QH,B187QH,4046,2878,-1.932506626,52.48862516,MIDLANDS
RXL01,RXL01: Blackpool Victoria Hospital,RXL01: Blackpool Victoria Hosp,FY3 8NR,FY38NR,3331,4365,-3.016279439,53.82065808,NORTH WEST
RXN02,RXN02: Royal Preston Hospital,RXN02: Royal Preston Hosp,PR2 9HT,PR29HT,3535,4330,-2.706844357,53.79150357,NORTH WEST
RXQ02,RXQ02: Stoke Mandeville Hospital,RXQ02: Stoke Mandeville Hosp,HP21 8AL,HP218AL,4827,2117,-0.802011909,51.79797408,SOUTH EAST
RXQ50,RXQ50: Wycombe Hospital,RXQ50: Wycombe Hosp,HP11 2TT,HP112TT,4863,1926,-0.753427811,51.62643935,SOUTH EAST
RYJ01,RYJ01: St Mary's Hospital (Hq),RYJ01: St Mary's Hosp (Hq),W2 1NY,W21NY,5268,1813,-0.173569333,51.51696715,LONDON
RYJ02,RYJ02: Charing Cross Hospital,RYJ02: Charing Cross Hosp,W6 8RF,W68RF,5236,1779,-0.21993525,51.48704274,LONDON
RYJ03,RYJ03: Hammersmith Hospital,RYJ03: Hammersmith Hosp,W12 0HS,W120HS,5225,1813,-0.234721096,51.51741783,LONDON
RYR16,RYR16: St Richard's Hospital,RYR16: St Richard's Hosp,PO19 6SE,PO196SE,4868,1056,-0.768026833,50.8435512,SOUTH EAST
RYR18,RYR18: Worthing Hospital,RYR18: Worthing Hosp,BN11 2DH,BN112DH,5153,1031,-0.363429113,50.81668903,SOUTH EAST
